Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;02 Aragón;Vivienda nueva;Índice;2021T2;122,963
Nacional;02 Aragón;Vivienda nueva;Índice;2021T1;122,415
Nacional;02 Aragón;Vivienda nueva;Índice;2020T4;122,344
Nacional;02 Aragón;Vivienda nueva;Índice;2020T3;125,993
Nacional;02 Aragón;Vivienda nueva;Índice;2020T2;120,550
Nacional;02 Aragón;Vivienda nueva;Índice;2020T1;122,569
Nacional;02 Aragón;Vivienda nueva;Índice;2019T4;118,626
Nacional;02 Aragón;Vivienda nueva;Índice;2019T3;117,825
Nacional;02 Aragón;Vivienda nueva;Índice;2019T2;118,718
Nacional;02 Aragón;Vivienda nueva;Índice;2019T1;117,297
Nacional;02 Aragón;Vivienda nueva;Índice;2018T4;112,875
Nacional;02 Aragón;Vivienda nueva;Índice;2018T3;112,076
Nacional;02 Aragón;Vivienda nueva;Índice;2018T2;108,304
Nacional;02 Aragón;Vivienda nueva;Índice;2018T1;108,278
Nacional;02 Aragón;Vivienda nueva;Índice;2017T4;105,046
Nacional;02 Aragón;Vivienda nueva;Índice;2017T3;108,509
Nacional;02 Aragón;Vivienda nueva;Índice;2017T2;108,107
Nacional;02 Aragón;Vivienda nueva;Índice;2017T1;108,157
Nacional;02 Aragón;Vivienda nueva;Índice;2016T4;102,896
Nacional;02 Aragón;Vivienda nueva;Índice;2016T3;105,724
Nacional;02 Aragón;Vivienda nueva;Índice;2016T2;106,473
Nacional;02 Aragón;Vivienda nueva;Índice;2016T1;101,325
Nacional;02 Aragón;Vivienda nueva;Índice;2015T4;99,401
Nacional;02 Aragón;Vivienda nueva;Índice;2015T3;98,356
Nacional;02 Aragón;Vivienda nueva;Índice;2015T2;101,932
Nacional;02 Aragón;Vivienda nueva;Índice;2015T1;100,311
Nacional;02 Aragón;Vivienda nueva;Índice;2014T4;97,405
Nacional;02 Aragón;Vivienda nueva;Índice;2014T3;98,907
Nacional;02 Aragón;Vivienda nueva;Índice;2014T2;100,654
Nacional;02 Aragón;Vivienda nueva;Índice;2014T1;97,050
Nacional;02 Aragón;Vivienda nueva;Índice;2013T4;97,993
Nacional;02 Aragón;Vivienda nueva;Índice;2013T3;100,896
Nacional;02 Aragón;Vivienda nueva;Índice;2013T2;99,888
Nacional;02 Aragón;Vivienda nueva;Índice;2013T1;102,220
Nacional;02 Aragón;Vivienda nueva;Índice;2012T4;114,155
Nacional;02 Aragón;Vivienda nueva;Índice;2012T3;113,850
Nacional;02 Aragón;Vivienda nueva;Índice;2012T2;117,708
Nacional;02 Aragón;Vivienda nueva;Índice;2012T1;117,681
Nacional;02 Aragón;Vivienda nueva;Índice;2011T4;125,785
Nacional;02 Aragón;Vivienda nueva;Índice;2011T3;134,707
Nacional;02 Aragón;Vivienda nueva;Índice;2011T2;134,926
Nacional;02 Aragón;Vivienda nueva;Índice;2011T1;136,796
Nacional;02 Aragón;Vivienda nueva;Índice;2010T4;140,121
Nacional;02 Aragón;Vivienda nueva;Índice;2010T3;139,584
Nacional;02 Aragón;Vivienda nueva;Índice;2010T2;143,469
Nacional;02 Aragón;Vivienda nueva;Índice;2010T1;141,768
Nacional;02 Aragón;Vivienda nueva;Índice;2009T4;147,640
