Grupos ECOICOP;Tipo de dato;Periodo;Total
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M12;99,478
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M11;99,482
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M10;99,323
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M09;99,000
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M08;98,844
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M07;98,906
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M06;99,344
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M05;99,435
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M04;99,149
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M03;98,819
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M02;98,551
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2020M01;98,490
06 Sanidad;Índice;2025M10;""
06 Sanidad;Índice;2025M09;107,615
06 Sanidad;Índice;2025M08;107,515
06 Sanidad;Índice;2025M07;107,507
06 Sanidad;Índice;2025M06;107,368
06 Sanidad;Índice;2025M05;107,190
06 Sanidad;Índice;2025M04;107,044
06 Sanidad;Índice;2025M03;106,634
06 Sanidad;Índice;2025M02;106,247
06 Sanidad;Índice;2025M01;106,028
06 Sanidad;Índice;2024M12;105,680
06 Sanidad;Índice;2024M11;105,573
06 Sanidad;Índice;2024M10;105,497
06 Sanidad;Índice;2024M09;105,513
06 Sanidad;Índice;2024M08;105,432
06 Sanidad;Índice;2024M07;105,363
